Sterksel,  5.6100 , 51.3500
Aachen,    6.0900 , 50.7800
Deelen,    5.8800 , 52.0600
Antwerp,   4.4100 , 51.2200
Groningen, 6.5500 , 53.2200
Bremen,    8.8200 , 53.0800
Kassel,    9.4650 , 51.3200
Frankfurt, 8.6900 , 50.1200
Florennes, 4.6100 , 50.2500
Trier,     6.6200 , 49.7500
Meschede,  8.2770 , 51.3500
