LFEH,2.39389,47.48028
LFJF,5.15056,44.69500
LFDH,0.60000,43.68694
EG__,0.22417,52.00806
GLD,10.25472,51.63334
EDOA,12.37806,50.49722
LF__,0.70000,45.55000
EDMA,10.93167,48.42528
GLD,9.79833,54.06472
LF__,6.18306,43.62528
ED__,11.92417,47.70000
LFLW,2.41667,44.89750
LI__,12.40583,46.56556
LO__,13.10083,46.93444
LO__,9.90667,47.14444
LF__,0.86667,47.66639
LF__,1.01667,47.53750
LFQF,4.26111,46.96750
LFLA,3.49722,47.85028
LF__,4.73389,46.99805
LF__,0.87111,49.64222
LF__,0.69583,46.12861
LFGE,3.90083,47.50389
LF__,4.07500,49.48056
GLD,8.82056,54.89611
LF__,0.07278,43.74611
LIPA,12.59889,46.03000
LFMV,4.90194,43.90667
LFNT,4.75500,43.99694
LE__,1.76722,41.36750
LFOA,2.63889,47.05695
LFRW,-1.40528,48.66167
EB__,5.07139,50.70694
GLD,3.89333,51.25528
GLD,-3.44861,41.41250
LF__,1.00667,47.83472
EDEF,8.96917,49.95278
ED__,11.49778,51.20222
EDOB,11.25861,50.90389
GLD,9.63972,48.05500
LO__,10.39833,47.26750
EDSH,9.45500,48.92000
GLD,9.82361,50.27195
EDPB,9.72889,48.56278
EDRF,8.19639,49.47306
EDPC,12.28722,47.92694
EDTB,8.18417,48.79083
EDOF,11.14306,51.37278
EDVA,10.02611,51.85250
LO__,13.61167,47.62833
EDEN,9.70722,50.84444
EDFK,10.06944,50.21056
GLD,10.42194,50.28750
EDEB,10.62167,51.12917
GLD,8.02861,50.66083
EDRA,7.13722,50.55778
EDFD,10.22722,50.30611
LSZE,9.48194,47.01500
ED__,8.29056,48.82417
EDRS,7.66667,49.79139
ED__,9.71000,47.91500
EDQB,10.36611,49.51028
EDNH,10.61500,48.01639
GLD,7.98861,53.21028
ED__,8.11194,47.87833
EGNG,-1.29000,54.21111
LFCB,0.60111,42.80056
LFAO,-0.38750,48.54583
LI__,9.50583,45.55305
ED__,8.39833,48.53806
LFFL,1.63861,48.51472
LF__,-1.63611,47.79111
EB__,4.43500,50.56861
ED__,8.37333,48.51556
LH__,18.92778,46.24972
LF__,5.47056,46.96778
LHSK,18.09583,46.85695
LI__,7.87972,44.77583
LFSB,7.52917,47.59000
EBKH,5.22083,51.18056
LF__,0.99500,43.15361
LH__,19.31500,48.04139
EDCB,11.22917,51.74583
LF__,-0.83917,45.76889
EDWZ,7.37222,53.72528
LI__,11.84444,45.62556
LS__,8.88722,47.36639
ETEJ,10.91417,49.92056
LF__,6.60778,49.11639
EG__,-2.30167,51.54833
LF__,1.28333,44.04778
LF__,3.28694,46.12500
LQBK,17.29750,44.94139
LD__,18.66139,45.60333
LF__,1.83333,43.32361
LE__,0.09167,42.00000
LEBL,2.07861,41.29722
LFMR,6.60944,44.38722
LE__,-3.99778,43.40583
LS__,6.92667,46.33000
LIBD,16.76500,41.13805
EGYE,-0.56167,52.96222
LFEU,5.18528,48.86833
LF__,6.38667,43.99250
EGNL,-3.26750,54.12889
EDXL,7.79417,53.16444
LFFR,4.41222,48.06583
EDPU,10.00500,48.74667
EDBH,12.71028,54.33833
ED__,10.21806,50.81694
LI__,11.81194,45.74917
ED__,12.95222,53.74528
LK__,18.35194,49.64361
LI__,11.69417,45.75500
LF__,6.31500,43.53000
LFKB,9.48472,42.55000
EB__,5.79694,50.05111
EB__,5.61333,50.77611
LF__,0.63639,45.32695
LF__,7.72667,48.80278
LF__,-0.06861,47.57000
LS__,8.86417,47.37695
GLD,9.41917,49.23056
ETEK,7.30722,49.65167
EDAB,14.51972,51.19361
GLD,9.14833,51.09389
EDQD,11.64111,49.98528
ED__,12.01833,47.66806
LF__,-0.18778,44.46250
LF__,0.98361,43.87639
LF__,-2.08889,46.89083
LF__,2.49389,48.14111
LF__,1.57778,47.74889
LF__,0.72472,44.76639
EBBE,4.76694,50.75778
LF__,2.82389,47.55889
LFGF,4.89333,47.00528
LFOB,2.11278,49.45444
LF__,0.87111,44.27333
ED__,7.68389,49.64278
EGSM,1.60028,52.43555
LK__,14.50222,49.27278
LFNX,3.14500,43.64083
EG__,-0.40778,52.14361
GLD,-0.46306,52.23083
GLD,17.20194,52.53778
LF__,-0.60806,42.98611
EDLQ,8.08167,51.93167
EB__,3.34917,51.13028
LF__,-0.91250,47.13222
EDNC,11.48472,49.02111
LSTB,7.13222,46.97944
LE__,-3.19000,41.01139
LFGG,6.83083,47.70111
LF__,7.00417,47.64917
LF__,2.41528,48.02222
ED__,7.42194,50.02750
LF__,-0.78778,44.50000
LJ__,15.55000,46.08333
LF__,1.07778,46.13000
LFHW,4.71389,46.14111
LS__,7.18222,46.60917
LFEA,-3.19917,47.32667
LFKY,5.69222,45.69500
LIDB,12.24778,46.16722
LFHN,5.80556,46.12417
LFIB,0.95833,44.78250
EGHJ,-1.10944,50.67805
GLD,0.48250,42.02222
GLD,11.39056,47.71583
LS__,8.70639,47.14333
EGUB,-1.09583,51.61639
GLD,8.58278,49.69194
LKBE,14.64472,49.74083
EGVJ,1.43472,52.12750
LF__,6.66083,46.36722
LF__,0.29500,44.41917
ED__,9.54167,47.83278
LE__,-1.80139,42.52278
EDNI,11.44361,49.13167
LFAM,1.59194,50.42305
